HourUTC,HourDK,PriceArea,ConsumerType_DE35,TotalCon,EventTimestamp,DMY,Hour,Minute,DayOfWeek,Quarter,Month,Day,Year,Season,Dayofyear,DayOfMonth,WeekOfYear,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,IsWorkingDay,IsBusinessHours,IsPeakHour,MinuteOfDay,MinuteOfWeek
2022-10-30 01:00,2022-10-30 02:00,DK1,111,45875,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,112,1299,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,119,18153,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,121,152261,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,122,26038,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,123,12698,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,130,15250,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,211,82995,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,212,11046,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,215,1052,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,220,15012,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,310,54565,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,320,5532,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,330,4520,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,340,3963,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,350,30058,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,360,42721,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,370,2932,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,381,1829,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,382,18378,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,390,2809,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,410,9284,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,421,51844,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,422,30467,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,431,16471,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,432,23817,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,433,18208,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,441,51846,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,442,13409,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,443,17460,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,444,9491,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,445,13122,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,446,24433,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,447,13965,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,450,12077,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,461,2186,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,462,1513,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,999,579288,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,111,31285,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,112,1067,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,119,24251,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,121,85689,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,122,26819,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,123,3951,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,130,12808,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,211,16300,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,212,2451,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,215,151,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,220,727,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,310,19323,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,320,1597,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,330,685,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,340,3169,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,350,21767,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,360,9421,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,370,525,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,381,431,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,382,25502,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,390,1443,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,410,4496,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,421,31231,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,422,15821,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,431,9832,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,432,31177,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,433,35307,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,441,35122,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,442,4622,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,443,23912,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,444,19547,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,445,9875,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,446,22255,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,447,15316,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,450,5562,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,461,13899,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,462,10177,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,999,344838,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,111,48778,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,112,1313,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,119,18737,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,121,166253,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,122,27171,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,123,13284,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,130,15790,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,211,83310,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,212,11199,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,215,1162,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,220,13808,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,310,54671,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,320,5533,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,330,4491,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,340,3648,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,350,29880,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,360,42830,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,370,3069,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,381,1834,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,382,18238,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,390,2832,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,410,9184,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,421,51316,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,422,31401,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,431,17256,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,432,24249,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,433,18812,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,441,52944,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,442,13864,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,443,17750,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,444,9580,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,445,13246,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,446,24711,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,447,14109,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,450,12108,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 00:00,2022-10-30 02:00,DK1,461,2205,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
